SurveyResponseID,rotation_state,age_group,gender,reading_platform,book_frequency,genre,sessionId,answer_to_1,answer_to_2,answer_to_3,answer_to_4,answer_to_5,answer_to_6,answer_to_7,answer_to_8,answer_to_9,answer_to_10,answer_to_11,answer_to_12,answer_to_13,answer_to_14,answer_to_15,answer_to_16,answer_to_17,answer_to_18,answer_to_19,answer_to_20,answer_to_21,answer_to_22,answer_to_23,answer_to_24
99,IIALS,18-24,['Woman'],"['Physical books', 'Online articles']",5-9,"['Romance', 'Classics/literature', 'Other non-fiction']",hdw4qy7v,Much more B than A,Much more B than A,Much more B than A,Much more A than B,Bit more A than B,Bit more B than A,About the same,Bit more A than B,Much more A than B,Much more B than A,Much more B than A,Much more B than A,Bit more A than B,About the same,Much more B than A,Much more B than A,Much more B than A,Bit more B than A,Much more B than A,Much more A than B,Much more B than A,Much more B than A,Much more A than B,About the same
104,IIALS,25-34,['Woman'],"['Physical books', 'Online articles']",0-4,"['Cookbooks', 'Self-help']",vnri4prp,Much more B than A,Much more B than A,Much more B than A,Much more A than B,Much more B than A,Much more A than B,Much more B than A,Much more B than A,Much more B than A,Much more B than A,Much more B than A,Much more B than A,Bit more A than B,About the same,Much more B than A,Much more B than A,Much more B than A,Much more B than A,Much more B than A,Much more A than B,Bit more B than A,Bit more B than A,Bit more A than B,About the same
106,IIALS,35-44,['Man'],['Physical books'],5-9,"['Mystery, thriller and crime', 'History', 'Science fiction', 'Fantasy', 'Classics/literature']",wsxdfcpl,Bit more B than A,Bit more B than A,Bit more B than A,Bit more A than B,Bit more B than A,Bit more B than A,About the same,About the same,Bit more B than A,Much more B than A,Bit more B than A,Bit more B than A,About the same,About the same,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Much more B than A,Much more B than A,About the same,Bit more A than B,Much more A than B
112,IIALS,18-24,['Woman'],['Physical books'],0-4,"['Mystery, thriller and crime', 'Westerns']",nm0bln8b,Much more B than A,Much more B than A,Bit more B than A,Bit more A than B,Bit more A than B,Bit more B than A,About the same,About the same,Bit more B than A,Bit more B than A,Bit more B than A,About the same,Bit more A than B,About the same,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,About the same,Bit more A than B,About the same,About the same,Bit more A than B,Bit more B than A
118,IIALS,18-24,['Woman'],['Physical books'],0-4,"['Romance', 'Fantasy', 'Religion/spirituality', 'Self-help']",nrbfhzjn,Much more A than B,Bit more B than A,Much more A than B,Bit more B than A,Much more A than B,Bit more B than A,Much more A than B,Much more A than B,Much more A than B,Bit more B than A,Bit more B than A,Bit more B than A,Bit more A than B,About the same,Bit more B than A,Much more A than B,About the same,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Much more B than A,About the same
124,IIALS,25-34,['Man'],"['Physical books', 'E-books']",10-14,"['History', 'Biographies', 'True crime']",joeo2j91,Much more B than A,Much more B than A,Bit more B than A,Bit more A than B,Bit more B than A,About the same,Bit more B than A,Bit more B than A,Bit more A than B,Bit more B than A,Bit more B than A,Much more B than A,Bit more B than A,About the same,Bit more B than A,About the same,Bit more B than A,Bit more B than A,Bit more B than A,About the same,About the same,Bit more B than A,Bit more B than A,Much more A than B
16,ALSII,55-64,['Man'],['E-books'],More than 20,"['Mystery, thriller and crime', 'Science fiction', 'Fantasy', 'Other non-fiction']",dye68xdb,Much more B than A,Much more B than A,Much more B than A,Much more A than B,Much more B than A,Much more B than A,Much more A than B,Bit more A than B,About the same,Much more B than A,Much more B than A,Much more B than A,Bit more A than B,About the same,Much more B than A,Much more B than A,Much more B than A,Much more B than A,Much more B than A,Much more A than B,Much more B than A,Bit more B than A,Much more A than B,Much more A than B
23,ALSII,18-24,['Woman'],['Physical books'],0-4,"['Mystery, thriller and crime', 'Health', 'Religion/spirituality', 'Self-help', 'True crime', 'Business', 'Poetry', 'Other non-fiction']",ntyio0r1,Much more B than A,Much more B than A,Bit more B than A,Bit more A than B,Much more B than A,Bit more B than A,Bit more B than A,About the same,About the same,Much more B than A,Bit more B than A,Bit more B than A,About the same,About the same,Bit more B than A,About the same,Bit more B than A,About the same,Bit more B than A,About the same,Much more B than A,Bit more A than B,Bit more A than B,Bit more B than A
49,ALSII,18-24,['Woman'],"['Physical books', 'E-books']",0-4,"['Mystery, thriller and crime', 'Health', 'True crime']",072fbk1f,About the same,Bit more B than A,About the same,Bit more A than B,About the same,About the same,About the same,Bit more B than A,About the same,About the same,About the same,Bit more A than B,Bit more B than A,About the same,About the same,About the same,About the same,About the same,Bit more B than A,About the same,Much more B than A,About the same,Bit more A than B,About the same
60,ALSII,25-34,['Man'],"['E-books', 'Audiobooks', 'Online articles']",0-4,"['History', 'Cookbooks', 'Classics/literature', 'Health', 'Religion/spirituality', 'Self-help', 'Political', 'Business']",l6hy2yzh,Much more B than A,Much more B than A,Much more B than A,Much more A than B,Much more B than A,Much more B than A,Much more A than B,Much more A than B,Much more A than B,Much more B than A,Much more B than A,Much more B than A,Much more B than A,About the same,Much more B than A,Much more B than A,Much more B than A,Much more B than A,Much more B than A,Much more A than B,Much more B than A,Much more B than A,Much more A than B,Much more A than B
66,ALSII,25-34,['Man'],['Physical books'],0-4,"['Mystery, thriller and crime', 'History', 'Political', 'Business']",791vfka9,Much more B than A,Bit more A than B,Bit more B than A,About the same,Bit more A than B,Much more B than A,About the same,About the same,About the same,Bit more A than B,Bit more B than A,Bit more A than B,Bit more B than A,About the same,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Bit more A than B,Much more B than A,Bit more A than B,Much more A than B,Bit more A than B
72,ALSII,18-24,['Woman'],"['Physical books', 'E-books']",0-4,"['Biographies', 'Self-help', 'Other fiction', 'Other non-fiction']",8fvoszm3,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Bit more B than A,Much more B than A,Much more B than A,Much more B than A,About the same,Much more B than A,Bit more B than A,About the same,Bit more B than A,About the same,Bit more B than A,Bit more B than A,About the same,Bit more B than A,Bit more B than A
78,ALSII,35-44,['Man'],"['Physical books', 'Online articles']",5-9,"['Mystery, thriller and crime', 'Biographies', 'Fantasy', 'Political']",4m81av6b,Bit more A than B,Bit more A than B,Bit more A than B,About the same,Bit more A than B,About the same,Bit more A than B,Bit more A than B,About the same,About the same,Bit more A than B,Bit more A than B,About the same,About the same,Bit more A than B,Bit more A than B,Bit more A than B,About the same,Bit more A than B,Bit more B than A,About the same,Bit more A than B,Bit more B than A,Bit more A than B
96,ALSII,18-24,['Man'],['Physical books'],15-20,"['History', 'Classics/literature', 'Political', 'Other non-fiction']",5qgv6uji,Much more A than B,Much more A than B,Much more A than B,Bit more B than A,Much more A than B,About the same,About the same,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more B than A,About the same,Much more A than B,Much more A than B,Much more A than B,Much more A than B,Much more A than B,About the same,Bit more A than B,About the same,Bit more A than B,Much more B than A
109,ALSII,25-34,['Woman'],"['Physical books', 'E-books', 'Audiobooks']",More than 20,"['Classics/literature', 'Poetry', 'Other fiction', 'Other non-fiction']",nppsfp29,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same,About the same
115,ALSII,25-34,['Woman'],"['Physical books', 'Online articles']",0-4,"['Biographies', 'Romance', 'Fantasy', 'Religion/spirituality', 'True crime']",frim50uu,About the same,Bit more A than B,Bit more A than B,Much more B than A,Bit more A than B,Bit more B than A,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more B than A,About the same,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,About the same,Bit more B than A,Bit more A than B,Bit more B than A,About the same
121,ALSII,18-24,['Woman'],"['Physical books', 'Audiobooks', 'Online articles', 'Other']",10-14,"['Mystery, thriller and crime', 'Romance', 'Religion/spirituality', 'Self-help', 'Poetry']",3egya56f,Bit more A than B,Bit more A than B,Bit more A than B,Much more A than B,Bit more A than B,Bit more A than B,About the same,Bit more A than B,Bit more A than B,Bit more A than B,Bit more A than B,Much more A than B,About the same,About the same,Much more A than B,Much more A than B,Much more A than B,About the same,About the same,About the same,Bit more A than B,Bit more A than B,Bit more B than A,About the same
